,sentence,year_from,year_to
78,не се слуша страшливо се обѕира,1941,1945
79,сè се чини некој се подбива,1941,1945
80,стар запира до темен порт,1941,1945
81,не се види ран на ругузина се свиткува,1941,1945
82,на сон оддалеку со мртвите се надвикува,1941,1945
83,песна за затворницата,1941,1945
84,еден темен вик ме буди,1941,1945
85,пак страшен дошол час,1941,1945
86,тука тишти души студ,1941,1945
87,а немошен лежи јас,1941,1945
88,пак е ноќен до кобен,1941,1945
89,се кикоти некој в трем,1941,1945
90,и со нокти рак гроб,1941,1945
91,од ѕидишта грепчи нем,1941,1945
92,ој за цутни сништа млад,1941,1945
93,да не бидам веќе роб,1941,1945
94,и за нов љубов в гради,1941,1945
95,ме фрливте овде в гроб,1941,1945
96,зошто уште сенко темен,1941,1945
97,во уречен иде час,1941,1945
98,од сон надеж да ми земе,1941,1945
99,за слобода и за спас,1941,1945
100,молком гази полноќ злобен,1941,1945
101,се засркна некој в трем,1941,1945
102,и со нокти рак гроб,1941,1945
103,од ѕидишта грепчи нем,1941,1945
105,кога од земја мачен,1945,1945
106,отстапи немец поган,1945,1945
107,тој в зло песосан мрачен,1945,1945
108,разнесе пустош и оган,1945,1945
109,тиран долго што кај нас,1945,1945
110,сее ужас и тага,1945,1945
111,зад својте петица гнасен,1945,1945
112,остави крвав траг,1945,1945
113,но мина лут мак,1945,1945
114,и пустош каде што легна,1945,1945
115,се крена работна рак,1945,1945
116,народ се стегна,1945,1945
117,пат се гради пруга се прави,1945,1945
118,тунели чади,1945,1945
119,шина се става,1945,1945
120,пискоти потфатен лост,1945,1945
121,и веќе в зора,1945,1945
122,со чад и искра,1945,1945
123,трга,1945,1945
124,прв воз,1945,1945
126,и токму кога сонцетојунче,1945,1945
127,изрипа на планина,1945,1945
128,одеднаш,1945,1945
129,кипната,1945,1945
130,бујна,1945,1945
131,се провре,1945,1945
132,низ темен тунел,1945,1945
133,машина,1945,1945
134,часум подзапре,1945,1945
135,срже,1945,1945
136,замижа,1945,1945
137,удрен од светлина,1945,1945
138,диво закопа,1945,1945
139,прилегна,1945,1945
140,зовре,1945,1945
141,фркна,1945,1945
142,и напред јурна,1945,1945
143,надолу скокум се фрли,1945,1945
144,од радост рикна,1945,1945
145,в поле се урна,1945,1945
146,ги цепи шина,1945,1945
147,бурно,1945,1945
148,ги сече кривина,1945,1945
149,напина гради,1945,1945
150,шир граба,1945,1945
151,збива,1945,1945
152,бод,1945,1945
153,лета,1945,1945
154,размав,1945,1945
155,развева грива,1945,1945
156,ој напред напред,1945,1945
157,крај нема полет,1945,1945
158,лудува земја,1945,1945
159,разлава поле,1945,1945
160,пука далечен глед,1945,1945
161,молни сонце сека,1945,1945
162,се шири рамнина и таму сребрен,1945,1945
163,се точи змијатарека,1945,1945
164,на неа сега бодна машина,1945,1945
165,таму да мине,1945,1945
166,да ја згази,1945,1945
167,да ја скине,1945,1945
168,ој напред напред,1945,1945
169,и сè е поблиску,1945,1945
170,и веќе јачи железен силен вик,1945,1945
171,напред,1945,1945
172,уште миг,1945,1945
173,но одеднаш,1945,1945
174,запре,1945,1945
175,болно ги сви мускул,1945,1945
176,пис,1945,1945
177,небаре коњ,1945,1945
178,во трк,1945,1945
179,над пропаст,1945,1945
180,на две нозе,1945,1945
181,обвиснат,1945,1945
183,како прекршен рбет,1945,1945
184,лежи на вод мост,1945,1945
185,бран тиок и скрбен,1945,1945
186,плиска железен коски,1945,1945
188,кај мост тука засилен бој се врза,1945,1945
189,падна од дрвјата снег зашчека митралез,1945,1945
190,запеа куршум немирен пес и брз,1945,1945
191,пукот од бомба рз зачкрта со бес,1945,1945
192,нож од мина по срчата небна,1945,1945
193,и кога зад мост над град чад се крена,1945,1945
194,и пожар вивна и ден се стемна,1945,1945
195,на бег веќе немец се спрема,1945,1945
196,пиштат улица,1945,1945
197,ужас гласа,1945,1945
198,на јуриш тогаш минат,1945,1945
199,борците,1945,1945
200,ударниците,1945,1945
201,мост да го спаси,1945,1945
202,и загрготе пукот,1945,1945
203,од железо чкрт,1945,1945
204,куршум в ре се сипат,1945,1945
205,во болка таа се витка,1945,1945
206,разлава лут смрт,1945,1945
207,но залудно е сè,1945,1945
208,се кикоти скришно под мост динамит,1945,1945
209,ужасен пукот простор го глуши,1945,1945
210,се крши мост и мртов се руши,1945,1945
212,но еве веќе работа зборен,1945,1945
213,кај мост јачи вик,1945,1945
214,и прав се крева гори,1945,1945
215,на сонце челик,1945,1945
216,во размав казмите свети,1945,1945
217,работа мајстор обгарена лик,1945,1945
218,работи тука младинска чета,1945,1945
219,чука чекан,1945,1945
220,железо чкрт,1945,1945
221,размав раце великан кран,1945,1945
222,наоколу се врти,1945,1945
223,намрштен,1945,1945
224,пиштат шина,1945,1945
225,под швајсмашините,1945,1945
226,искра прска,1945,1945
227,мост се гради станува веќе,1945,1945
228,небаре болник од болничен од,1945,1945
229,исправа железен плеќи,1945,1945
230,протега раце над вода,1945,1945
231,сказната на стариот мајстор,1945,1945
232,мајстор чујте за син ми сказ,1945,1945
233,и вие чујте синковци млад,1945,1945
234,за него тажи душа празен,1945,1945
235,за него болка ми кине гради,1945,1945
236,го думам како остана сирак,1945,1945
237,во лулка уште млад сокол сам,1945,1945
238,како сум тиштел како сум збирал,1945,1945
239,за да го гледа јас еден знам,1945,1945
240,на мојве раце дете расен,1945,1945
241,му бев јас татко грижен и строг,1945,1945
242,а како мај се моли гласно,1945,1945
243,да ми го спасе од болест бог,1945,1945
244,го думам арен во спомен дален,1945,1945
245,прв запче и збор и ôд,1945,1945
246,но како еден до друг сме спали,1945,1945
247,остана болка во спомен,1945,1945
248,спие тио јунак мој,1945,1945
249,насмеал мило усте во сонот,1945,1945
250,но пуста беше темен ноќ,1945,1945
251,за татко му од мак гонет,1945,1945
252,јас лежев скинат без капка моќ,1945,1945
253,и жежок сврдел длабеше в ум,1945,1945
254,се вртев тешко на кревет тврд,1945,1945
255,и слуша в уши од ужас шум,1945,1945
256,и сам ја сака свој смрт,1945,1945
257,зашто ме дари со мак свет,1945,1945
258,да бидам страден за кор леб,1945,1945
259,да биде гладно моето дете,1945,1945
260,и кров урнат и огнот слеп,1945,1945
261,и мојот божик да биде тажен,1945,1945
262,да дреме беда на мојот кат,1945,1945
263,а јас да нема со поглед влажен,1945,1945
264,да сети радост никој пат,1945,1945
265,аргатска живот ко лут змија,1945,1945
266,да дроби снага лик да пија,1945,1945
267,и често така чудно ми беше,1945,1945
268,за сонот сладок на син мој,1945,1945
269,со тиок усмев како се смешка,1945,1945
270,в детински сништа заигран тој,1945,1945
271,ме топли драго снага мал,1945,1945
272,ме гали здив со жар ме пече,1945,1945
273,и ми е чудно и ми е жален,1945,1945
274,и јадри солза без запир тече,1945,1945
275,израсна син ми бор виш стана,1945,1945
276,му свет в очи на машкост пламен,1945,1945
277,се стемна чело во младост рана,1945,1945
278,и тврд мисла се спушти таму,1945,1945
279,низ бор нему му мина пат,1945,1945
280,го мачи в затвор душман без грев,1945,1945
281,се силев залуд јас да го сфати,1945,1945
282,тој беше сокол јас робјаш бев,1945,1945
283,а кога кај нас повик се крена,1945,1945
284,да стане народ во крвав бој,1945,1945
285,во шумен гора со прва смена,1945,1945
286,се крена тогај и син мој,1945,1945
287,три лути зима три лис лета,1945,1945
288,со пушка в раце тој мина в страд,1945,1945
289,и вивна свет тој кај што шета,1945,1945
290,со одбор чета низ смрт и глад,1945,1945
291,низ дим и пламен сив сокол лета,1945,1945
292,без лек крилје да жижне смад,1945,1945
293,ни куршум свирнат од зло клет,1945,1945
294,го стигна него во полет млад,1945,1945
295,а кога мина година трета,1945,1945
296,и веќе душман бега в јад,1945,1945
297,кај мост овде на смрт вет,1945,1945
298,тој падна мртов крај роден град,1945,1945
299,тој падна мртов од рак гнасен,1945,1945
300,тој тука проли црвен крв,1945,1945
301,и заден поглед му тука згасна,1945,1945
302,ко ѕвезда јасен зад темен врв,1945,1945
303,јас саноќ чека да чујам чекор,1945,1945
304,да тропне син ми на мојот трем,1945,1945
305,но ноќта беше глува и мек,1945,1945
306,и ек замрен и пат нем,1945,1945
307,го најдов дента кај мост сразен,1945,1945
308,со друг сокли во дружен смрт,1945,1945
309,му беше чудно коса мазна,1945,1945
310,ја галев долго со дланов тврд,1945,1945
311,и после закоп низ град мина,1945,1945
312,оди народ пее хор,1945,1945
313,нека се слави што јунак згина,1945,1945
314,за својот народ извишен бор,1945,1945
315,и тогаш нешто ме фати крена,1945,1945
316,се напна силно мој град,1945,1945
317,и божем свет друг свет го смена,1945,1945
318,и капна солза за прв пат,1945,1945
319,не болка чудо ми откри таја,1945,1945
320,за ошто копне јунак мој,1945,1945
321,тоа што сек бор го знае,1945,1945
322,кога во смрт тргнува тој,1945,1945
323,тоа што сек човек го таи,1945,1945
324,длабоко в срце убав дар,1945,1945
325,но место пожар да вивне сјаен,1945,1945
326,што тлее често запретан жар,1945,1945
327,слобода толку што сум се мачел,1945,1945
328,што значи разбрав тој чуден збор,1945,1945
329,а беше закоп над гроб мрачен,1945,1945
330,стои народ пее хор,1945,1945
331,и тогај реков мој сине збогум,1945,1945
332,да ти е лек земја ладен,1945,1945
333,за вечен спомен ќе го крене,1945,1945
334,мост во младост каде што падна,1945,1945
335,мајстор вие имате чедо,1945,1945
336,почујте татков зарек и клет,1945,1945
337,младич син ми во вас го гледа,1945,1945
338,негов тврдост в очи ви свет,1945,1945
339,да прегне сек треба да се гради,1945,1945
340,мост челик тврд нека пишти,1945,1945
341,крв в темел легна а таква зграда,1945,1945
342,ни век ја руши ни бура ја ништи,1945,1945
344,готов е мост,1945,1945
345,убавец бодер,1945,1945
346,наутро ран од сон се буди,1945,1945
347,протега лак по лак,1945,1945
348,наутро чуден гостин му иде,1945,1945
349,од модер простор преку рид,1945,1945
350,сонце единак,1945,1945
351,сонце голичко в ре скака,1945,1945
352,брвнува сето од лад и свежест,1945,1945
353,на дно се нурка плива и шлака,1945,1945
354,а мост фрла од сен мрежа,1945,1945
355,и да го фане во неа сака,1945,1945
356,вод се плиска роса се блиска,1945,1945
357,сме се гласи од бисер јасен,1945,1945
358,над ре трепка божилак,1945,1945
359,и тогаш,1945,1945
360,тајно,1945,1945
361,по шина,1945,1945
362,далечен трепет се носи,1945,1945
363,нечуен,1945,1945
364,стишен,1945,1945
365,лек,1945,1945
366,стине,1945,1945
367,и трпне,1945,1945
368,од немир мост,1945,1945
369,мор слатка го лази,1945,1945
370,премира,1945,1945
371,чека,1945,1945
372,одеднаш,1945,1945
373,радосен вик,1945,1945
374,ја раскина,1945,1945
375,тишина,1945,1945
376,горе,1945,1945
377,зад полегат рид,1945,1945
378,изрипа,1945,1945
379,машина,1945,1945
380,молскотен поглед,1945,1945
381,на мост,1945,1945
382,метна,1945,1945
383,зеде здив,1945,1945
384,прилегна,1945,1945
385,закопа,1945,1945
386,за ржа,1945,1945
387,и летен,1945,1945
388,надолу се урна,1945,1945
389,ги цепи шина,1945,1945
390,бурно,1945,1945
391,ги сече кривина,1945,1945
392,напина гради,1945,1945
393,шир граба,1945,1945
394,збива,1945,1945
395,бод,1945,1945
396,лета,1945,1945
397,размав,1945,1945
398,развева грива,1945,1945
399,и ете ја пред мост,1945,1945
400,шири раце тој,1945,1945
401,со пискот,1945,1945
402,на гради,1945,1945
403,му се фрла,1945,1945
404,го пали,1945,1945
405,со здив,1945,1945
406,го гали,1945,1945
407,го свива,1945,1945
408,го стега,1945,1945
409,в железен преграб,1945,1945
410,заглушит,1945,1945
411,бурен,1945,1945
412,сама за миг,1945,1945
413,и веќе напред,1945,1945
414,в шир јури,1945,1945
415,јури,1945,1945
416,со победен вик,1945,1945
417,ој напред напред,1945,1945
418,крај нема полет,1945,1945
419,лудува земја,1945,1945
420,разлава поле,1945,1945
421,пука,1945,1945
422,далечен глед,1945,1945
423,тешкото,1948,1948
424,о тешкото сурла штом диво ќе писнат,1948,1948
425,штом тапан ќе грмне со подземен ек,1948,1948
426,во градиве зошто жал лут ме стиска,1948,1948
427,во очиве зошто навири ре,1948,1948
428,и зошто ми иде да плаче ко дете,1948,1948
429,да превијам раце да прекријам лик,1948,1948
430,та гризам јас усна стегам срце клето,1948,1948
431,да не пушти вик,1948,1948
432,о тешкото старци излегуват еве,1948,1948
433,на чело им мисла во очи им влага,1948,1948
434,и прв чекор по мек трева,1948,1948
435,е мирен и бавен со здржан тага,1948,1948
436,но рзнува тапан и писок се крева,1948,1948
437,и молнија светнува во секој глед,1948,1948
438,и напред се пушта се стрелка се слева,1948,1948
439,стегнат ред,1948,1948
440,до старците момци се фаќа скокум,1948,1948
441,не издржа срце сив сокол во клет,1948,1948
442,не издржа пламен жив потулен в ока,1948,1948
443,не издржа младост што сака да летне,1948,1948
444,се залула оро се заврти земја,1948,1948
445,и чини се корне стресен век,1948,1948
446,и околу трпнат ридиштата темен,1948,1948
447,и враќаат ек,1948,1948
448,и божем се врасло кипнатово оро,1948,1948
449,со исконска сил за земја наш,1948,1948
450,и во него шуми на река збор,1948,1948
451,и во него рик див ветер и страшен,1948,1948
452,и во него шепнат узреан житја,1948,1948
453,и вечерен мирис се разлева тих,1948,1948
454,и земја дише во пролет ситост,1948,1948
455,со запален здив,1948,1948
456,и душа чини на род мој мачен,1948,1948
457,во тешково оро се уткала сета,1948,1948
458,век по век што трупал сè попуст и мрачен,1948,1948
459,од крвав болка од робија клет,1948,1948
460,век по век што нижел од кора мисла,1948,1948
461,за радосен челад за слободен свет,1948,1948
462,од пес за љубов што гине со пискот,1948,1948
463,ко жерав во лет,1948,1948
464,о тешкото кога во молк да те гледа,1948,1948
465,на очиве магла ми напаѓа сура,1948,1948
466,и одеднаш в бескрај се растега ред,1948,1948
467,и ридја се губи в пустелија штура,1948,1948
468,и еве кај иде од магла мат,1948,1948
469,сè сен до сен сè еден до друг,1948,1948
470,во бескрајно оро син оди по татко,1948,1948
471,по деда си внук,1948,1948
472,времињата мрачен се нивното поле,1948,1948
473,и нивен свирка на прангите ѕвек,1948,1948
474,а глава им се наведен доле,1948,1948
475,и покроце врват сè чекор по чекор,1948,1948
476,о времиња што ве в мрак род мој минал,1948,1948
477,кој збор ќе ми најде за ваш стрв,1948,1948
478,кој збор ќе ми најде за ужас зинат,1948,1948
479,над пустош и крв,1948,1948
480,кој број ќе ми каже на лутите рани,1948,1948
481,на пламнати ноќи на пеплишта пусти,1948,1948
482,кој на срце болка ќе изреди збрани,1948,1948
483,и на очи солза и клетва на уста,1948,1948
484,о тешкото синџир ти беше на робја,1948,1948
485,од калеш мома и невеста ред,1948,1948
486,со врзан раце во плен што ги погнал,1948,1948
487,насилник клет,1948,1948
488,о тешкото синџир ти беше на робја,1948,1948
489,дур не стана народ во листен гора,1948,1948
490,сè дури со јад од век собран,1948,1948
491,не поведе бујно бунтовничко оро,1948,1948
492,се залула тан низ крвје и огон,1948,1948
493,и повик се зачу и грмеж во чад,1948,1948
494,те разнесе сегде бунтовен нога,1948,1948
495,по роден кат,1948,1948
496,о тешкото сега по наш село,1948,1948
497,во слобода првпат штом оро ќе сретам,1948,1948
498,зар чудно е солза да потече врела,1948,1948
499,зар чудно е жал јас в срце да сети,1948,1948
500,од вековен ропство мој народе иде,1948,1948
501,но носи ти в раце дар злат и пој,1948,1948
502,пченица твоја триж плодна ќе биде,1948,1948
503,и живот твој,1948,1948
505,бел трендафил ти за мене цутиш,1948,1948
506,и ти моме мое ќе ми бидиш,1948,1948
507,ти си младост за да се радува,1948,1948
508,малој моме за да те милувам,1948,1948
510,молчи молчи кутро срце,1948,1948
511,дури среќен да ми бидиш,1948,1948
512,по апцани по зандани,1948,1948
513,многу маки ти ќе види,1948,1948
515,сношти жален низ темнина,1948,1948
516,јаор дрво шуми,1948,1948
517,сама легнав сам си заспав,1948,1948
518,ми се сон чуден сон,1948,1948
519,ми се сон темен магла,1948,1948
520,во магла до два сокла,1948,1948
521,од крилје се бисер рони,1948,1948
522,кажи мајка стар мајка,1948,1948
523,каков показ е,1948,1948
524,тешка коба суден мак,1948,1948
525,коба сину твојот сон,1948,1948
526,темен магла темен зандан,1948,1948
527,до два сокла до два брата,1948,1948
528,дробен бисер сит синџир,1948,1948
530,лудо лежи во зандан,1948,1948
531,тешки пранги на нозете,1948,1948
532,дробен синџир на рацете,1948,1948
533,никој не иди,1948,1948
534,лудо да види,1948,1948
535,тага ле,1948,1948
536,утре ран ќе отвори,1948,1948
537,лудо младо да заберат,1948,1948
538,лудо младо dа загуби,1948,1948
539,никој не гласи,1948,1948
540,лудо да спаси,1948,1948
541,тага ле,1948,1948
543,гарване море црн пиле де,1948,1948
544,лош коба кобиш црн гласје носи,1948,1948
546,многу жал ми падна многу црна мак,1948,1948
547,за твој младост дека загина,1948,1948
548,силно момче беше силно срце в гради,1948,1948
549,не истрпе срце ропство да го јади,1948,1948
550,ти нарами пушка одбор чета собра,1948,1948
551,и план вати гора зелен,1948,1948
552,те издемна душман во зло утаен,1948,1948
553,за отплата вика гроб твој незнаен,1948,1948
555,крени се гоце војвода,1948,1948
556,доста си трпел неправди,1948,1948
557,тебе те чека гора,1948,1948
558,тебе те пека поле,1948,1948
559,на ниво мачен селани,1948,1948
560,клет роб в зандани,1948,1948
561,крени се сину народен,1948,1948
562,поведи народ поробен,1948,1948
563,да ни е пролет пролет,1948,1948
564,да ни е наше поле,1948,1948
565,да ни се мили село,1948,1948
566,да ни е радост челад,1948,1948
567,песна,1948,1948
568,запеј ја мнуче запеј ја,1948,1948
569,песна стојановата,1948,1948
570,песна јунаковата,1948,1948
571,каде бил стојан кај минал,1948,1948
572,кај одел стојан партизан,1948,1948
573,како е стојан загинал,1948,1948
574,од тие клет фашист,1948,1948
575,не може дедо да пеам,1948,1948
576,пес за син ти стојана,1948,1948
577,каде бил стојан кај минал,1948,1948
578,кај одел стојан партизан,1948,1948
579,како е стојан загинал,1948,1948
580,зашто си многу жалослив,1948,1948
581,кога ќе пес запее,1948,1948
582,крвај ќе солза пророниш,1948,1948
583,и мене ќе ме нажалиш,1948,1948
584,запеј ја мнуче запеј ја,1948,1948
585,песна стојановата,1948,1948
586,гламна е срце татково,1948,1948
587,солза роса од небо,1948,1948
588,кога ќе пес запееш,1948,1948
589,роса ми роси на срце,1948,1948
590,заш ми е мило за него,1948,1948
591,за негов јунаство,1948,1948
592,заш не е стојан загинат,1948,1948
593,на тланик дома седи,1948,1948
594,туку е стојан загинат,1948,1948
595,крвав бор води,1948,1948
596,последен куршум исфрли,1948,1948
597,последен душман умерил,1948,1948
598,последен пес испеал,1948,1948
599,така е стојан загинал,1948,1948
600,писмо,1948,1948
601,ти за цел живот мене,1948,1948
602,најарен другар ми си,1948,1948
603,детство штом ќе го спомне,1948,1948
604,јас тогаш за тебе мисли,1948,1948
605,игра едни ни беа,1948,1948
606,и едни дните бели,1948,1948
607,дури не дојде ден,1948,1948
608,и деца нас нè дели,1948,1948
609,далеку еден од друг,1948,1948
610,идеа писмо често,1948,1948
611,но сама едно го думам,1948,1948
612,ко звук од полноќ пес,1948,1948
613,и кога првпат го четов,1948,1948
614,непознат оган ме згоре,1948,1948
615,ми беше блиско а чудно,1948,1948
616,и нов ми звучи збор,1948,1948
617,јас сака секогаш тебе,1948,1948
618,мил другар да те сретам,1948,1948
619,затоа работи и ти,1948,1948
620,да стане убав свет,1948,1948
621,друже да знае тогаш,1948,1948
622,дека во бор ќе згаснеш,1948,1948
623,на збор твој би ја сети,1948,1948
624,сила див и јасен,1948,1948
625,јас после често сум паѓа,1948,1948
626,јас немав срце крепко,1948,1948
627,но пак сум наоѓа сили,1948,1948
628,сонце да го сретам,1948,1948
629,и кога в мрак сум тоне,1948,1948
630,не може просто да мисли,1948,1948
631,о колку страшно ми ѕвонел,1948,1948
632,збор од твоето писмо,1948,1948
633,не нема да ја скршам,1948,1948
634,твој силен клет,1948,1948
635,јас ќе се бори друже,1948,1948
636,да стане убав свет,1948,1948
637,ти не си за мене мртов,1948,1948
638,ти в спомен живее свиден,1948,1948
639,и дури денеска може,1948,1948
640,твој верен другар да бидам,1948,1948
641,на граница,1948,1948
642,езероно ти го види,1948,1948
643,граница го на две дели,1948,1948
644,но кој бран би го запре,1948,1948
645,открај накрај да не иде,1948,1948
646,да не шири крилје бели,1948,1948
647,на другион рид се гледа,1948,1948
648,кралска круна од камен,1948,1948
649,бурандар ја неа редел,1948,1948
650,нека знае секој еден,1948,1948
651,одавде е кралска земја,1948,1948
652,наше поле сонце свет,1948,1948
653,а во грчко облак паднал,1948,1948
654,житјата се таму жален,1948,1948
655,и дрвјата молчи клет,1948,1948
656,на грчки земја страд,1948,1948
657,таму ноќта страшен лаз,1948,1948
658,таму ноќе село гори,1948,1948
659,житјата ги крв гази,1948,1948
660,крв прави грозен праз,1948,1948
661,кол бес пали по ред,1948,1948
662,пак се полни зандана,1948,1948
663,наши браќа во нив гинат,1948,1948
664,лемна ноќ ги голта дните,1948,1948
665,тлее луѓе в пранги свити,1948,1948
666,в беазкуле во гроб зинат,1948,1948
667,пече тишти в срце рана,1948,1948
668,нема веќе тука умир,1948,1948
669,та со пушка народ стана,1948,1948
670,и напреку гора фан,1948,1948
671,што за тешка бор шуми,1948,1948
672,по село војска врви,1948,1948
673,македонец и грк рамен,1948,1948
674,нека враг страв го здрви,1948,1948
675,нека падне в мат крви,1948,1948
676,трон негов трон срамен,1948,1948
677,езероно ти го види,1948,1948
678,граница го среди дели,1948,1948
679,но кој бран ќе го запре,1948,1948
680,од брег на брег да не иде,1948,1948
681,да не шири крилје бели,1948,1948
682,а кој бедем ќе го скроти,1948,1948
683,на народ бран бурен,1948,1948
684,и кој ќе му стане спротив,1948,1948
685,кога народ ќе се сплоти,1948,1948
686,тиранството да го урне,1948,1948
687,балада,1948,1948
688,заседа волча во мат зора,1948,1948
689,крај горски пат,1948,1948
690,и краток пукот и одек громок,1948,1948
691,а после мир и барутен чад,1948,1948
692,седумте борци паднати в зора,1948,1948
693,ги носи,1948,1948
694,в прилеп,1948,1948
695,на плоштад,1948,1948
696,одеднаш вест,1948,1948
697,црна птица,1948,1948
698,пис над град со жален крик,1948,1948
699,здивен и злорад,1948,1948
700,низ улица,1948,1948
701,крвник мине,1948,1948
702,штик по штик,1948,1948
703,го гризе камен за петица,1948,1948
704,го стрела смртно од сите лица,1948,1948
705,град,1948,1948
706,бунтовник,1948,1948
707,и дочул тажен вест за син,1948,1948
708,нема да престапи татко праг,1948,1948
709,ни брат со мрачен лик ќе мине,1948,1948
710,за да го види мртвиот брат,1948,1948
711,не,1948,1948
712,стаи болка што срце кине,1948,1948
713,одмазда спрема тој в машка град,1948,1948
714,но клет мај како да трае,1948,1948
715,ја клукна змија,1948,1948
716,болка ја сви,1948,1948
717,шамија црна врзува таја,1948,1948
718,и трча таму со издив стаен,1948,1948
719,за задно збогум со својот син,1948,1948
720,ден е мрачен прсоли дожд,1948,1948
721,попуст и потих е плоштад,1948,1948
722,седмина лежи во крвав ред,1948,1948
723,стражар стражар изѕемнат над нив,1948,1948
724,цинично свет бајонет,1948,1948
725,и ете таа дотрча таму,1948,1948
726,и замре над нив,1948,1948
727,ја зави мрак,1948,1948
728,но ако в очи магла падна,1948,1948
729,со срце мај го позна страд,1948,1948
730,го види мртов син си млад,1948,1948
731,ги изви таа во ужас прст,1948,1948
732,и прекри лик,1948,1948
733,се стресе сета ко слаба трска,1948,1948
734,и напна гради,1948,1948
735,но од града,1948,1948
736,не се чу вилен,1948,1948
737,раздирлив вик,1948,1948
738,и сама солза низ образ ливна,1948,1948
739,над мртов строј,1948,1948
740,и в миг,1948,1948
741,ко веда,1948,1948
742,ја свет силно,1948,1948
743,безумен мисла,1948,1948
744,но мисла див,1948,1948
745,не,1948,1948
746,не е тој,1948,1948
747,и тогаш мај раствори очи,1948,1948
748,поглед што мине над труп и кал,1948,1948
749,и како жерав без пат и почин,1948,1948
750,што тоне в небо со тивка жал,1948,1948
751,се топи в срце тешкиот камен,1948,1948
752,и гледа мај нов чуден крај,1948,1948
753,и жив го гледа син си таму,1948,1948
754,како во сонот што си го тај,1948,1948
755,го види таа во зора рани,1948,1948
756,по горски срт,1948,1948
757,од сите прв,1948,1948
758,коло кај што од партизан,1948,1948
759,достига виш планински врв,1948,1948
760,се лула под нив простор сињ,1948,1948
761,во утрен пурпур небо тоне,1948,1948
762,и светнал таму нејниот син,1948,1948
763,пред румен изгрев,1948,1948
764,во орлов лет,1948,1948
765,се гласи пес,1948,1948
766,гора ѕвонат,1948,1948
767,изгрева сонце,1948,1948
768,стапи в ред,1948,1948
769,сонце оди пред таа коло,1948,1948
770,пролет пес,1948,1948
771,под земи трева со скришен мисла,1948,1948
772,са зима расте расте,1948,1948
773,а в пролет извор зелен и бистер,1948,1948
774,на бујни извира пласје,1948,1948
775,живот плодна ми се слеа,1948,1948
776,со тебе татко земја,1948,1948
777,в гради ко в бразда со тивка сме,1948,1948
778,ми никне твоето семе,1948,1948
